document,cluster
RV 1.1,7
RV 1.2,10
RV 1.3,10
RV 1.4,11
RV 1.5,10
RV 1.6,23
RV 1.7,8
RV 1.8,8
RV 1.9,11
RV 1.10,11
RV 1.11,8
RV 1.12,7
RV 1.13,29
RV 1.14,20
RV 1.15,20
RV 1.16,10
RV 1.17,32
RV 1.18,37
RV 1.19,20
RV 1.20,34
RV 1.21,32
RV 1.22,16
RV 1.23,38
RV 1.24,4
RV 1.25,6
RV 1.26,0
RV 1.27,0
RV 1.28,10
RV 1.29,8
RV 1.30,9
RV 1.31,0
RV 1.32,17
RV 1.33,17
RV 1.34,28
RV 1.35,28
RV 1.36,7
RV 1.37,21
RV 1.38,2
RV 1.39,21
RV 1.40,37
RV 1.41,27
RV 1.42,27
RV 1.43,5
RV 1.44,0
RV 1.45,15
RV 1.46,36
RV 1.47,36
RV 1.48,22
RV 1.49,22
RV 1.50,30
RV 1.51,26
RV 1.52,17
RV 1.53,1
RV 1.54,26
RV 1.55,26
RV 1.56,26
RV 1.57,1
RV 1.58,13
RV 1.59,13
RV 1.60,13
RV 1.61,1
RV 1.62,23
RV 1.63,17
RV 1.64,21
RV 1.65,2
RV 1.66,2
RV 1.67,2
RV 1.68,13
RV 1.69,2
RV 1.70,13
RV 1.71,0
RV 1.72,0
RV 1.73,2
RV 1.74,20
RV 1.75,7
RV 1.76,20
RV 1.77,0
RV 1.78,15
RV 1.79,15
RV 1.80,26
RV 1.81,1
RV 1.82,31
RV 1.83,29
RV 1.84,25
RV 1.85,21
RV 1.86,35
RV 1.87,21
RV 1.88,2
RV 1.89,40
RV 1.90,19
RV 1.91,5
RV 1.92,22
RV 1.93,0
RV 1.94,7
RV 1.95,27
RV 1.96,20
RV 1.97,25
RV 1.98,19
RV 1.99,15
RV 1.100,35
RV 1.101,35
RV 1.102,26
RV 1.103,1
RV 1.104,1
RV 1.105,14
RV 1.106,4
RV 1.107,16
RV 1.108,10
RV 1.109,32
RV 1.110,1
RV 1.111,8
RV 1.112,3
RV 1.113,22
RV 1.114,4
RV 1.115,30
RV 1.116,6
RV 1.117,6
RV 1.118,6
RV 1.119,6
RV 1.120,3
RV 1.121,23
RV 1.122,4
RV 1.123,22
RV 1.124,22
RV 1.125,4
RV 1.126,2
RV 1.127,13
RV 1.128,0
RV 1.129,1
RV 1.130,2
RV 1.131,8
RV 1.132,1
RV 1.133,26
RV 1.134,10
RV 1.135,10
RV 1.136,3
RV 1.137,10
RV 1.138,6
RV 1.139,16
RV 1.140,13
RV 1.141,13
RV 1.142,29
RV 1.143,13
RV 1.144,13
RV 1.145,13
RV 1.146,27
RV 1.147,0
RV 1.148,2
RV 1.149,3
RV 1.150,0
RV 1.151,3
RV 1.152,3
RV 1.153,3
RV 1.154,28
RV 1.155,3
RV 1.156,27
RV 1.157,6
RV 1.158,6
RV 1.159,3
RV 1.160,3
RV 1.161,34
RV 1.162,16
RV 1.163,16
RV 1.164,30
RV 1.165,35
RV 1.166,21
RV 1.167,21
RV 1.168,2
RV 1.169,35
RV 1.170,35
RV 1.171,35
RV 1.172,21
RV 1.173,23
RV 1.174,17
RV 1.175,2
RV 1.176,2
RV 1.177,31
RV 1.178,1
RV 1.179,16
RV 1.180,6
RV 1.181,6
RV 1.182,6
RV 1.183,6
RV 1.184,6
RV 1.185,3
RV 1.186,4
RV 1.187,3
RV 1.188,29
RV 1.189,7
RV 1.190,2
RV 1.191,23
RV 2.1,7
RV 2.2,13
RV 2.3,29
RV 2.4,13
RV 2.5,0
RV 2.6,0
RV 2.7,15
RV 2.8,13
RV 2.9,7
RV 2.10,15
RV 2.11,11
RV 2.12,26
RV 2.13,18
RV 2.14,10
RV 2.15,11
RV 2.16,9
RV 2.17,33
RV 2.18,31
RV 2.19,8
RV 2.20,8
RV 2.21,8
RV 2.22,33
RV 2.23,37
RV 2.24,37
RV 2.25,37
RV 2.26,37
RV 2.27,3
RV 2.28,4
