document,cluster
RV 1.1,29
RV 1.2,-1
RV 1.3,21
RV 1.4,5
RV 1.5,5
RV 1.6,5
RV 1.7,5
RV 1.8,5
RV 1.9,5
RV 1.10,5
RV 1.11,5
RV 1.12,29
RV 1.13,11
RV 1.14,11
RV 1.15,-1
RV 1.16,5
RV 1.17,-1
RV 1.18,6
RV 1.19,11
RV 1.20,10
RV 1.21,-1
RV 1.22,19
RV 1.23,17
RV 1.24,12
RV 1.25,12
RV 1.26,29
RV 1.27,29
RV 1.28,2
RV 1.29,4
RV 1.30,5
RV 1.31,-1
RV 1.32,5
RV 1.33,5
RV 1.34,-1
RV 1.35,-1
RV 1.36,29
RV 1.37,1
RV 1.38,1
RV 1.39,1
RV 1.40,6
RV 1.41,18
RV 1.42,28
RV 1.43,-1
RV 1.44,-1
RV 1.45,11
RV 1.46,21
RV 1.47,21
RV 1.48,0
RV 1.49,0
RV 1.50,-1
RV 1.51,5
RV 1.52,5
RV 1.53,5
RV 1.54,5
RV 1.55,5
RV 1.56,5
RV 1.57,5
RV 1.58,30
RV 1.59,-1
RV 1.60,27
RV 1.61,5
RV 1.62,5
RV 1.63,5
RV 1.64,1
RV 1.65,34
RV 1.66,30
RV 1.67,-1
RV 1.68,-1
RV 1.69,34
RV 1.70,-1
RV 1.71,30
RV 1.72,32
RV 1.73,30
RV 1.74,-1
RV 1.75,29
RV 1.76,-1
RV 1.77,30
RV 1.78,3
RV 1.79,29
RV 1.80,5
RV 1.81,5
RV 1.82,5
RV 1.83,-1
RV 1.84,-1
RV 1.85,1
RV 1.86,1
RV 1.87,1
RV 1.88,1
RV 1.89,-1
RV 1.90,19
RV 1.91,3
RV 1.92,0
RV 1.93,-1
RV 1.94,-1
RV 1.95,-1
RV 1.96,34
RV 1.97,-1
RV 1.98,34
RV 1.99,-1
RV 1.100,5
RV 1.101,5
RV 1.102,5
RV 1.103,5
RV 1.104,5
RV 1.105,-1
RV 1.106,19
RV 1.107,19
RV 1.108,-1
RV 1.109,-1
RV 1.110,10
RV 1.111,10
RV 1.112,23
RV 1.113,0
RV 1.114,-1
RV 1.115,26
RV 1.116,23
RV 1.117,23
RV 1.118,23
RV 1.119,23
RV 1.120,-1
RV 1.121,5
RV 1.122,19
RV 1.123,0
RV 1.124,0
RV 1.125,15
RV 1.126,9
RV 1.127,29
RV 1.128,-1
RV 1.129,28
RV 1.130,5
RV 1.131,5
RV 1.132,5
RV 1.133,4
RV 1.134,2
RV 1.135,2
RV 1.136,20
RV 1.137,18
RV 1.138,5
RV 1.139,-1
RV 1.140,-1
RV 1.141,-1
RV 1.142,11
RV 1.143,29
RV 1.144,-1
RV 1.145,-1
RV 1.146,-1
RV 1.147,33
RV 1.148,-1
RV 1.149,3
RV 1.150,5
RV 1.151,-1
RV 1.152,-1
RV 1.153,20
RV 1.154,-1
RV 1.155,5
RV 1.156,20
RV 1.157,-1
RV 1.158,23
RV 1.159,8
RV 1.160,8
RV 1.161,10
RV 1.162,-1
RV 1.163,5
RV 1.164,25
RV 1.165,1
RV 1.166,1
RV 1.167,1
RV 1.168,1
RV 1.169,1
RV 1.170,11
RV 1.171,1
RV 1.172,1
RV 1.173,3
RV 1.174,5
RV 1.175,5
RV 1.176,5
RV 1.177,5
RV 1.178,5
RV 1.179,-1
RV 1.180,-1
RV 1.181,-1
RV 1.182,23
RV 1.183,24
RV 1.184,-1
RV 1.185,8
RV 1.186,19
RV 1.187,3
RV 1.188,11
RV 1.189,33
RV 1.190,3
RV 1.191,17
RV 2.1,29
RV 2.2,29
RV 2.3,14
RV 2.4,-1
RV 2.5,-1
RV 2.6,29
RV 2.7,29
RV 2.8,-1
RV 2.9,-1
RV 2.10,-1
RV 2.11,5
RV 2.12,5
RV 2.13,3
RV 2.14,5
RV 2.15,5
RV 2.16,5
RV 2.17,5
RV 2.18,5
RV 2.19,5
RV 2.20,5
RV 2.21,3
RV 2.22,-1
RV 2.23,6
RV 2.24,6
RV 2.25,6
RV 2.26,6
RV 2.27,-1
RV 2.28,12
RV 2.29,-1
RV 2.30,5
RV 2.31,19
RV 2.32,0
RV 2.33,-1
RV 2.34,1
