Topic,Sukta,Cluster
Creation,RV 10.72,25
Creation,RV 10.81,-1
Creation,RV 10.82,25
Creation,RV 10.90,25
Creation,RV 10.121,-1
Creation,RV 10.129,25
Creation,RV 10.130,25
Creation,RV 10.190,-1
Creation,RV 10.125,12
Marut,RV 1.37,1
Marut,RV 1.38,1
Marut,RV 1.39,1
Marut,RV 1.64,1
Marut,RV 1.85,1
Marut,RV 1.86,1
Marut,RV 1.87,1
Marut,RV 1.88,1
Marut,RV 1.165,1
Marut,RV 1.166,1
Marut,RV 2.34,1
Marut,RV 8.7,1
Marut,RV 5.52,1
Marut,RV 5.87,1
Water,RV 10.9,17
Water,RV 7.49,-1
Water,RV 10.30,-1
Water,RV 10.13,25
Water,RV 6.61,0
Water,RV 7.47,-1
Surya,RV 1.50,-1
Surya,RV 1.115,26
Surya,RV 1.164,25
Surya,RV 4.40,19
Surya,RV 5.40,5
Surya,RV 7.60,20
Surya,RV 7.62,-1
Surya,RV 7.63,26
Surya,RV 7.66,18
Surya,RV 8.101,-1
Surya,RV 10.36,19
Surya,RV 10.37,17
Surya,RV 10.158,22
Surya,RV 10.170,-1
Surya,RV 10.189,26
Surya,RV 10.190,-1
Brihaspati,RV 1.18,6
Brihaspati,RV 1.40,6
Brihaspati,RV 2.23,6
Brihaspati,RV 2.24,6
Brihaspati,RV 2.25,6
Brihaspati,RV 2.26,6
Brihaspati,RV 7.97,20
Brihaspati,RV 10.155,-1
Brihaspati,RV 4.50,0
Heaven & Earth,RV 1.159,8
Heaven & Earth,RV 1.160,8
Heaven & Earth,RV 1.185,8
Heaven & Earth,RV 4.56,-1
Heaven & Earth,RV 6.70,8
Heaven & Earth,RV 7.53,8
Funeral,RV 10.14,-1
Funeral,RV 10.16,-1
Funeral,RV 10.18,-1
Funeral,RV 10.135,-1
Funeral,RV 10.154,11
Funeral,RV 10.10,15
Funeral,RV 10.11,-1
Funeral,RV 10.12,14
Funeral,RV 10.13,25
Funeral,RV 10.15,-1
Funeral,RV 10.17,-1
Funeral,RV 10.19,17
